"question","answer"
"ما هو training set و test set؟","Training set هي البيانات المستخدمة لتدريب النموذج وتعليمه الأنماط. Test set بيانات منفصلة تُستخدم لتقييم أداء النموذج على بيانات لم يراها من قبل. الفصل بينهما ضروري لتقييم موضوعي."
"ما هو feature engineering؟","Feature engineering هو عملية إنشاء، تحويل، أو اختيار المتغيرات (features) من البيانات الخام لتحسين أداء النموذج. يشمل التطبيع، إنشاء متغيرات جديدة، ومعالجة القيم المفقودة. من أهم خطوات بناء نماذج فعالة."
"ما هي خوارزمية decision tree؟","Decision tree خوارزمية تعلم آلي تبني نموذج على شكل شجرة من القرارات. كل عقدة تمثل سؤال عن feature، والفروع تمثل الإجابات الممكنة. سهلة الفهم والتفسير، تُستخدم للتصنيف والانحدار."
"ما هو الفرق بين precision و recall؟","Precision (الدقة) تقيس نسبة التنبؤات الإيجابية الصحيحة من كل التنبؤات الإيجابية. Recall (الاستدعاء) يقيس نسبة التنبؤات الإيجابية الصحيحة من كل الحالات الإيجابية الفعلية. يُستخدمان معاً لتقييم نماذج التصنيف."
"What is HTML?","HTML (HyperText Markup Language) is the standard markup language for creating web pages. It defines the structure and content of web pages using elements and tags. HTML works with CSS for styling and JavaScript for interactivity."
"What is CSS?","CSS (Cascading Style Sheets) is a language used to describe the presentation and styling of HTML documents. It controls layout, colors, fonts, spacing, and responsive design. CSS separates content from design, making websites more maintainable."
"What is responsive web design?","Responsive web design is an approach that makes web pages render well on different devices and screen sizes. It uses flexible grids, flexible images, and CSS media queries. The layout adapts automatically to provide optimal viewing experience."
"What is a REST API?","REST (Representational State Transfer) API is an architectural style for building web services. It uses HTTP methods (GET, POST, PUT, DELETE) to perform operations on resources. REST APIs are stateless, scalable, and widely used for client-server communication."
"What is the box model in CSS?","The box model describes how elements are rendered with content, padding, border, and margin. Content is the innermost area, padding surrounds content, border wraps padding, and margin is the outermost space. Understanding it is crucial for proper layout control."
"What is a framework?","A framework is a pre-built structure that provides a foundation for developing applications. It includes reusable code, libraries, and tools that follow specific patterns. Frameworks like React, Angular, and Vue.js speed up development and enforce best practices."
"What is AJAX?","AJAX (Asynchronous JavaScript and XML) is a technique for creating dynamic web pages without reloading. It uses XMLHttpRequest or Fetch API to communicate with servers asynchronously. AJAX enables smoother user experiences by updating parts of a page independently."
"What is semantic HTML?","Semantic HTML uses tags that clearly describe their meaning and content purpose. Examples include header, nav, article, section, and footer instead of just div. It improves accessibility, SEO, and code readability."
"What is a CDN?","A Content Delivery Network (CDN) is a distributed network of servers that delivers content to users from the nearest location. It reduces latency, improves load times, and handles traffic spikes. CDNs cache static assets like images, CSS, and JavaScript files."
"What is CORS?","CORS (Cross-Origin Resource Sharing) is a security mechanism that controls how web pages can request resources from different domains. Browsers enforce same-origin policy by default, and CORS headers allow specific cross-origin requests. It prevents unauthorized access while enabling legitimate cross-domain communication."
"ما هي قاعدة البيانات؟","قاعدة البيانات هي مجموعة منظمة من البيانات المخزنة والمدارة إلكترونياً. تسمح بالوصول السريع، الإدارة الفعالة، والتحديث المنتظم للبيانات. تُستخدم في كل التطبيقات من المواقع الإلكترونية إلى الأنظمة المصرفية."
"ما الفرق بين SQL و NoSQL؟","SQL قواعد بيانات علائقية تستخدم جداول ومخططات ثابتة مع لغة SQL للاستعلام. NoSQL قواعد بيانات غير علائقية مرنة تدعم أنواع مختلفة كالمستندات والأزواج key-value. NoSQL أفضل للبيانات الضخمة غير المهيكلة، SQL للبيانات المهيكلة والمعقدة."
"ما هو primary key؟","Primary key (المفتاح الأساسي) هو عمود أو مجموعة أعمدة تحدد كل صف في الجدول بشكل فريد. لا يمكن أن يحتوي على قيم NULL أو مكررة. يُستخدم لضمان تفرد السجلات وربط الجداول."
"ما هي عملية JOIN في SQL؟","JOIN تُستخدم لدمج صفوف من جدولين أو أكثر بناءً على عمود مشترك بينهما. أنواعها: INNER JOIN, LEFT JOIN, RIGHT JOIN, و FULL JOIN. تسمح باسترجاع بيانات مرتبطة من جداول متعددة في استعلام واحد."
"ما هو index في قواعد البيانات؟","Index (الفهرس) هو هيكل بيانات يحسّن سرعة عمليات البحث والاسترجاع في الجدول. يعمل مثل فهرس الكتاب للوصول السريع للبيانات. يسرّع الاستعلامات لكن يبطئ عمليات الإدخال والتحديث قليلاً."
"ما هي ACID properties؟","ACID خصائص تضمن موثوقية المعاملات في قواعد البيانات: Atomicity (الذرية)، Consistency (الاتساق)، Isolation (العزل)، Durability (الدوام). تضمن أن المعاملات تُنفذ بشكل كامل أو لا تُنفذ أبداً، وتبقى البيانات صحيحة حتى عند الأعطال."
"ما هو MongoDB؟","MongoDB قاعدة بيانات NoSQL موجهة للمستندات تخزن البيانات بصيغة JSON-like. مرنة ولا تتطلب مخطط ثابت، مناسبة للبيانات غير المهيكلة. تدعم التوسع الأفقي وتُستخدم في التطبيقات الحديثة والبيانات الضخمة."
"ما هي normalization؟","Normalization (التطبيع) عملية تنظيم قاعدة البيانات لتقليل التكرار وتحسين سلامة البيانات. تتضمن تقسيم الجداول الكبيرة لجداول أصغر مرتبطة. تتم عبر مراحل (1NF, 2NF, 3NF) كل منها يحل مشاكل معينة."
"What is Git?","Git is a distributed version control system that tracks changes in source code during development. It allows multiple developers to work together on projects without conflicts. Git maintains complete history and enables branching, merging, and collaboration."
"What is the difference between git pull and git fetch?","git fetch downloads changes from remote repository but doesn't merge them into your current branch. git pull does both fetch and merge in one command. fetch is safer as it lets you review changes before integrating them."
"What is a branch in Git?","A branch is an independent line of development in Git that allows you to work on features without affecting the main codebase. The main branch is typically called main or master. Branches can be merged back after completing work."
"What is Docker?","Docker is a platform for developing, shipping, and running applications in containers. Containers package applications with all dependencies into standardized units. Docker ensures consistency across different environments and simplifies deployment."
"What is CI/CD?","CI/CD stands for Continuous Integration and Continuous Deployment/Delivery. CI automatically builds and tests code changes, while CD automates deployment to production. These practices enable faster, more reliable software releases with reduced manual effort."
"What is a merge conflict?","A merge conflict occurs when Git cannot automatically reconcile differences between two commits. This happens when the same lines of code are modified differently in separate branches. Developers must manually resolve conflicts by choosing which changes to keep."
"What is DevOps?","DevOps is a culture and set of practices that combines software development (Dev) and IT operations (Ops). It emphasizes collaboration, automation, and continuous improvement to deliver software faster and more reliably. DevOps uses tools for CI/CD, monitoring, and infrastructure as code."
