question,answer,language,category
How do you create a set from a list?,"Use set(), for example: s = set().",english,python_basic​
How do you write a basic for loop in Python?,"Use for with a sequence, for example: for x in: print(x).",english,python_basic​
How do you write a basic while loop in Python?,"Use while with a condition, for example: while x < 5: x += 1.",english,python_basic​
How do you break out of a loop in Python?,"Use break to exit the nearest loop immediately.",english,python_basic​
How do you skip one iteration in a loop in Python?,"Use continue to skip to the next iteration of the loop.",english,python_basic​
What is a simple if statement in Python?,"Use if with a condition, for example: if x > 0: print('positive').",english,python_basic​
How do you add an else block to an if statement?,"Use else to run code when the if condition is False.",english,python_basic​
What is elif used for in Python?,"elif adds another condition after an if when the first condition is False.",english,python_basic​
How do you write a chained if-elif-else structure?,"Use multiple conditions, for example: if x>0: ... elif x==0: ... else: ....",english,python_basic​
How do you define a function in Python?,"Use def, for example: def add(a,b): return a+b.",english,python_basic​
How do you call a function in Python?,"Write its name with parentheses, for example: result = add(2,3).",english,python_basic​
What is a parameter in a Python function?,"A parameter is a variable in the function definition that receives a value.",english,python_basic​
What is a return value in a function?,"It is the value sent back by the function using return.",english,python_basic​
What are *args in Python functions?,"*args collects extra positional arguments into a tuple, for example: def f(*args): print(args).",english,python_basic​
What are **kwargs in Python functions?,"**kwargs collects extra keyword arguments into a dictionary, for example: def f(**k): print(k).",english,python_basic​
When should you use *args?,"Use args when you do not know how many positional arguments will be passed.",english,python_basic​
When should you use **kwargs?,"Use **kwargs when you want to accept flexible named arguments.",english,python_basic​
How do you write a try-except block in Python?,"Use try for risky code and except for handling errors, for example: try: x=1/0; except ZeroDivisionError: print('error').",english,python_basic​
What is the purpose of finally in exception handling?,"finally defines code that runs whether an exception occurs or not.",english,python_basic​
How do you catch any exception in Python?,"Use except Exception as e: to catch most errors.",english,python_basic​
How do you import a whole module in Python?,"Use import, for example: import math.",english,python_basic​
How do you import a specific function from a module?,"Use from module import name, for example: from math import sqrt.",english,python_basic​
What is the difference between import module and from module import name?,"import module requires module.name, while from module import name lets you use name directly.",english,python_basic​
What are comparison operators in Python?,"They compare values, for example: ==, !=, <, >, <=, >=.",english,python_basic​
What are logical operators in Python?,"Logical operators and, or, not combine or negate conditions.",english,python_basic​
How do you check if two values are equal in Python?,"Use ==, for example: x == y.",english,python_basic​
What is a string in Python?,"A string is text inside quotes, for example: s = 'Hello'.",english,python_basic​
How do you concatenate two strings in Python?,"Use +, for example: 'Hello ' + 'World'.",english,python_basic​
How do you get a substring using slicing?,"Use [start:end], for example: s[0:3].",english,python_basic​
What is a list comprehension in Python?,"It is a compact way to build lists, for example: [x2 for x in nums].",english,python_basic​
How do you filter items in a list comprehension?,"Add an if condition, for example: [x for x in nums if x>0].",english,python_basic​
How do you open a file for reading in Python?,"Use open with mode 'r', for example: f = open('data.txt','r').",english,python_basic​
How do you open a file for writing in Python?,"Use mode 'w', for example: f = open('out.txt','w').",english,python_basic​
How do you read all text from a file?,"Use read(), for example: content = f.read().",english,python_basic​
ما هو العدد الصحيح int في بايثون؟,"int هو عدد كامل بدون فاصلة عشرية مثل x = 10.",arabic,python_basic
ما هو العدد العشري float في بايثون؟,"float هو عدد يحتوي على فاصلة عشرية مثل price = 10.5.",arabic,python_basic
ما هي السلسلة النصية str في بايثون؟,"str هي نص داخل علامات اقتباس مثل name = 'Ali'.",arabic,python_basic
ما هي القيمة المنطقية bool في بايثون؟,"bool نوع يمثل القيمتين True و False ويستخدم في الشروط.",arabic,python_basic
كيف تعرّف متغيرًا في بايثون؟,"نستخدم علامة = مثل x = 5 أو message = 'Hello'.",arabic,python_basic
ما الفرق بين int و float في بايثون؟,"int يمثل أعدادًا صحيحة مثل 3 و float يمثل أعدادًا عشرية مثل 3.14.",arabic,python_basic
كيف تتحقق من نوع متغير في بايثون؟,"نستخدم الدالة type() مثل type(x).",arabic,python_basic
كيف تحوّل نصًا إلى عدد صحيح في بايثون؟,"نستخدم int() مثل age = int('25').",arabic,python_basic
كيف تحوّل عددًا إلى نص في بايثون؟,"نستخدم str() مثل text = str(42).",arabic,python_basic
ما هي القائمة list في بايثون؟,"القائمة تجميعة مرتبة وقابلة للتعديل مثل nums =.",arabic,python_basic​
كيف تصل إلى أول عنصر في قائمة؟,"نستخدم الفهرس 0 مثل nums.",arabic,python_basic​
كيف تضيف عنصرًا إلى نهاية قائمة؟,"نستخدم append() مثل nums.append(4).",arabic,python_basic​
كيف تحذف عنصرًا من القائمة باستخدام قيمته؟,"نستخدم remove() مثل nums.remove(2).",arabic,python_basic​
كيف تعرف عدد عناصر قائمة في بايثون؟,"نستخدم الدالة len() مثل len(nums).",arabic,python_basic​
ما هو القاموس dictionary في بايثون؟,"القاموس بنية بيانات تخزن أزواج مفتاح وقيمة مثل user = {'name':'Ali','age':20}.",arabic,python_basic​
كيف تصل إلى قيمة في قاموس باستخدام المفتاح؟,"نستخدم الأقواس المربعة مثل user['name'].",arabic,python_basic​
كيف تضيف زوج مفتاح وقيمة جديدًا إلى قاموس؟,"نُسند قيمة لمفتاح جديد مثل user['city'] = 'Blida'.",arabic,python_basic​
كيف تتكرّر على المفاتيح والقيم في قاموس؟,"نستخدم items() مثل for k,v in user.items(): print(k,v).",arabic,python_basic​
كيف تتحقق من وجود مفتاح في قاموس؟,"نستخدم العامل in مثل 'name' in user.",arabic,python_basic​
ما هو الـ tuple في بايثون؟,"tuple تسلسل مرتب وغير قابل للتغيير مثل point = (1,2).",arabic,python_basic​
ما هي المجموعة set في بايثون؟,"set مجموعة غير مرتبة من عناصر فريدة مثل s = {1,2,3}.",arabic,python_basic​
ما الفرق بين القائمة list و الـ tuple؟,"القائمة قابلة للتعديل وتستخدم [] بينما الـ tuple ثابت ويستخدم ().",arabic,python_basic​
ما الفرق بين القائمة list والمجموعة set؟,"القائمة مرتبة وتسمح بالتكرار، المجموعة غير مرتبة وتحتفظ بعناصر فريدة.",arabic,python_basic​
كيف تنشئ مجموعة set من قائمة؟,"نستخدم set() مثل s = set().",arabic,python_basic​
كيف تكتب حلقة for بسيطة في بايثون؟,"نستخدم for مع تسلسل مثل for x in: print(x).",arabic,python_basic​
كيف تكتب حلقة while بسيطة في بايثون؟,"نستخدم while مع شرط مثل while x < 5: x += 1.",arabic,python_basic​
كيف تخرج من حلقة في بايثون؟,"نستخدم break للخروج من الحلقة فورًا.",arabic,python_basic​
كيف تتجاوز تكرارًا معينًا داخل الحلقة؟,"نستخدم continue لتخطي التكرار والانتقال للذي يليه.",arabic,python_basic​
ما هي جملة if في بايثون؟,"if تُستخدم لتنفيذ كود إذا تحقق شرط مثل if x > 0: print('positive').",arabic,python_basic​
كيف تضيف else إلى جملة if؟,"نستخدم else لتنفيذ كود عندما يكون شرط if غير محقق.",arabic,python_basic​
ما وظيفة elif في بايثون؟,"elif تُستخدم لفحص شرط إضافي بعد if عندما يكون الشرط الأول خاطئًا.",arabic,python_basic​
كيف تكتب بنية if و elif و else كاملة؟,"نستخدم if ثم elif ثم else مع شروط مناسبة.",arabic,python_basic​
كيف تعرّف دالة function في بايثون؟,"نستخدم def مثل def add(a,b): return a+b.",arabic,python_basic​
كيف تستدعي دالة في بايثون؟,"نكتب اسم الدالة متبوعًا بأقواس مثل result = add(2,3).",arabic,python_basic​
ما هو الوسيط parameter في الدالة؟,"هو متغير في تعريف الدالة يستقبل قيمة عند الاستدعاء.",arabic,python_basic​
ما هي القيمة المعادة من الدالة؟,"هي القيمة التي ترجعها الدالة باستخدام return.",arabic,python_basic​
ما هو *args في دوال بايثون؟,"*args يجمع الوسائط الموضعية الإضافية في tuple مثل def f(*args): print(args).",arabic,python_basic​
ما هو **kwargs في دوال بايثون؟,"**kwargs يجمع الوسائط المسماة الإضافية في قاموس مثل def f(**k): print(k).",arabic,python_basic​
متى نستخدم args في الدالة؟,"عندما لا نعرف عدد الوسائط الموضعية التي ستمُرّر للدالة.",arabic,python_basic​
متى نستخدم **kwargs في الدالة؟,"عندما نريد قبول عدد مرن من الوسائط المسماة.",arabic,python_basic​
كيف تكتب كتلة try و except في بايثون؟,"نضع الكود الخطِر داخل try ومعالجة الخطأ في except مثل try: x=1/0; except ZeroDivisionError: print('error').",arabic,python_basic​
ما دور finally في معالجة الأخطاء؟,"finally يحتوي كودًا يُنفّذ دائمًا سواء حدث استثناء أم لا.",arabic,python_basic​
كيف تلتقط أي استثناء في بايثون؟,"نستخدم except Exception as e: لمعظم الأخطاء.",arabic,python_basic​
كيف تستورد مكتبة كاملة في بايثون؟,"نستخدم import مثل import math.",arabic,python_basic​
كيف تستورد دالة محددة من مكتبة؟,"نستخدم from module import name مثل from math import sqrt.",arabic,python_basic​
ما الفرق بين import module و from module import name؟,"import module يتطلب module.name بينما from module import name يسمح باستخدام الاسم مباشرة.",arabic,python_basic​
ما هي معاملات المقارنة في بايثون؟,"هي رموز لمقارنة القيم مثل == و != و < و > و <= و >=.",arabic,python_basic​
ما هي العمليات المنطقية في بايثون؟,"and و or و not تُستخدم لدمج الشروط أو عكسها.",arabic,python_basic​
كيف تتحقق من تساوي قيمتين في بايثون؟,"نستخدم == مثل x == y.",arabic,python_basic​
ما هي السلسلة النصية string في بايثون؟,"هي نص داخل علامات اقتباس مثل s = 'Hello'.",arabic,python_basic​
كيف تدمج سلسلتين نصيتين في بايثون؟,"نستخدم العامل + مثل 'Hello ' + 'World'.",arabic,python_basic​
كيف تحصل على جزء من سلسلة نصية؟,"نستخدم التقطيع slicing مثل s[0:3].",arabic,python_basic​
ما هو list comprehension في بايثون؟,"هو طريقة مختصرة لإنشاء قائمة مثل [x2 for x in nums].",arabic,python_basic​
كيف تُصفّي العناصر داخل list comprehension؟,"نضيف شرط if مثل [x for x in nums if x>0].",arabic,python_basic​
كيف تفتح ملفًا للقراءة في بايثون؟,"نستخدم open مع النمط 'r' مثل f = open('data.txt','r').",arabic,python_basic​
كيف تفتح ملفًا للكتابة في بايثون؟,"نستخدم النمط 'w' مثل f = open('out.txt','w').",arabic,python_basic​
كيف تقرأ كل محتوى ملف نصي؟,"نستخدم read() مثل content = f.read().",arabic,python_basic

ما اسمك؟,"أنا مساعد افتراضي تم تصميمه لمساعدتك في الأسئلة والمحادثات العامة.",arabic,dialog_general
